place,bib,name,swimTime,T1Time,bikeTime,T2Time,runTime,time
1,43,Verzbicas,00:19:49,00:00:50,00:55:23,00:00:33,00:30:55,01:47:28
2,1,Vidal,00:19:29,00:00:52,00:55:33,00:00:32,00:31:22,01:47:45
3,2,Polyanskiy,00:19:19,00:00:52,00:55:42,00:00:32,00:31:40,01:48:04
4,22,Buckingham,00:20:04,00:00:52,00:54:59,00:00:31,00:31:51,01:48:16
5,5,Bowden,00:19:25,00:00:52,00:55:38,00:00:32,00:31:58,01:48:22
6,14,Turbayevskiy,00:19:27,00:00:57,00:55:30,00:00:32,00:32:06,01:48:33
7,9,Alarza,00:19:22,00:00:48,00:55:47,00:00:33,00:32:06,01:48:35
8,8,"Harris ",00:19:29,00:00:52,00:55:37,00:00:35,00:32:10,01:48:40
9,31,"Abuin Ares",00:19:29,00:00:50,00:55:39,00:00:32,00:32:17,01:48:45
10,54,Schilling,00:20:01,00:00:48,00:55:10,00:00:31,00:32:20,01:48:50
11,10,Billington,00:19:30,00:00:53,00:55:32,00:00:36,00:32:32,01:49:03
12,12,"Kerr ",00:19:26,00:00:51,00:55:38,00:00:31,00:32:49,01:49:14
13,33,Gomar,00:19:23,00:00:53,00:55:37,00:00:34,00:32:52,01:49:19
14,29,Ruanova,00:19:23,00:00:51,00:55:42,00:00:34,00:32:56,01:49:24
15,28,Pevtsov,00:19:52,00:00:50,00:55:16,00:00:36,00:32:54,01:49:26
16,7,Polyanskiy,00:19:19,00:00:52,00:55:42,00:00:32,00:33:09,01:49:33
17,23,Zaferes,00:19:19,00:00:54,00:55:40,00:00:28,00:33:15,01:49:33
18,40,Kuster,00:19:54,00:00:50,00:55:21,00:00:33,00:33:06,01:49:41
19,50,Gonzalez,00:19:35,00:00:50,00:55:33,00:00:33,00:33:13,01:49:44
20,27,Vincent,00:19:57,00:00:48,00:55:07,00:00:33,00:33:22,01:49:48
21,3,Pereira,00:19:28,00:00:48,00:55:38,00:00:30,00:33:26,01:49:52
22,37,Vasiliev,00:19:27,00:00:53,00:54:49,00:00:36,00:34:10,01:49:52
23,24,Bryukhankov,00:19:23,00:00:54,00:55:38,00:00:37,00:33:26,01:49:58
24,34,Frommhold,00:19:23,00:00:53,00:55:38,00:00:32,00:33:39,01:50:04
25,4,Bailie,00:19:32,00:00:54,00:55:28,00:00:34,00:33:50,01:50:16
26,62,Schwetz,00:19:19,00:00:53,00:55:48,00:00:28,00:33:57,01:50:25
27,15,Featonby,00:20:08,00:00:53,00:54:56,00:00:34,00:34:12,01:50:40
28,41,Hernandez,00:19:23,00:00:52,00:55:42,00:00:35,00:34:20,01:50:50
29,51,"Hernandez Marrero",00:19:33,00:00:48,00:55:36,00:00:34,00:34:24,01:50:53
30,32,"Brown ",00:19:46,00:00:54,00:55:21,00:00:33,00:34:24,01:50:55
31,18,McMaster,00:19:27,00:00:54,00:55:36,00:00:38,00:34:27,01:51:02
32,65,Mendes,00:19:19,00:00:52,00:55:49,00:00:28,00:34:37,01:51:04
33,47,Arraiolos,00:20:04,00:00:52,00:55:06,00:00:35,00:34:37,01:51:12
34,45,Wangel,00:19:47,00:00:54,00:55:21,00:00:32,00:34:42,01:51:13
35,21,Stojanovic,00:19:44,00:00:58,00:55:16,00:00:35,00:34:48,01:51:20
36,56,Clavel,00:19:28,00:00:50,00:55:39,00:00:30,00:34:59,01:51:24
37,49,Otto,00:19:30,00:00:51,00:55:33,00:00:36,00:35:01,01:51:29
38,67,Vikner,00:20:03,00:09:54,00:46:07,00:11:52,00:23:41,01:51:36
39,57,Nieschlag,00:20:04,00:00:53,00:54:55,00:00:30,00:35:21,01:51:42
40,53,Wolfe,00:19:44,00:00:54,00:55:23,00:00:33,00:35:19,01:51:53
41,48,Fonseca,00:19:26,00:00:52,00:55:37,00:00:32,00:35:37,01:52:03
42,11,Box,00:19:23,00:00:50,00:55:43,00:00:32,00:35:46,01:52:13
43,35,Bishop,00:19:34,00:00:52,00:55:30,00:00:32,00:35:50,01:52:17
44,25,Cecil,00:19:45,00:00:52,00:55:18,00:00:32,00:36:25,01:52:49
45,26,Fanous,00:19:28,00:00:56,00:55:31,00:00:34,00:36:23,01:52:51
46,42,Zachaeus,00:19:22,00:00:54,00:55:37,00:00:28,00:36:38,01:52:56
47,55,Wisthoff,00:19:56,00:00:56,00:55:11,00:00:35,00:36:44,01:53:19
48,30,Matos,00:19:51,00:00:54,00:55:16,00:00:32,00:36:56,01:53:28
49,44,Gunby,00:21:26,00:00:54,00:56:57,00:00:34,00:33:42,01:53:32
50,39,Weber,00:19:32,00:00:53,00:55:35,00:00:34,00:37:28,01:54:00
51,63,Peters,00:19:30,00:00:54,00:55:31,00:00:33,00:38:04,01:54:30
52,38,Maciel,00:19:35,00:00:52,00:55:29,00:00:36,00:39:32,01:56:04
53,60,Szymanowski,00:20:33,00:00:51,00:57:53,00:00:36,00:36:33,01:56:25
54,16,Ivanov,00:19:48,00:00:52,00:55:18,00:00:33,00:41:15,01:57:43
55,61,Vovrusko,00:20:04,00:00:53,01:03:51,00:00:36,00:37:05,02:02:28
